Pitanje,Odgovor,Očekivan odgovor,Tačnost,Tacan_odgovor,Linkovi,Likovi za referencu
Da li Srbija ima najveći BDP u regionu?,Ne,Ne,1,"Ne, Srbija nema najveći BDP u regionu, prema podacima Statiste Hrvatska trenutno ima viši BDP od Srbije (78,8 mlrd dolara u poređenju sa 70 mlrd dolara).",[],https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=RS
Da li je nezaposlenost u Srbiji smanjena za 10% u poslednjih pet godina? (2020),--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,['https://www.stat.gov.rs/sr-latn/oblasti/trziste-rada/anketa-o-radnoj-snazi/'],https://www.stat.gov.rs/
Da li je Srbija ušla u top 10 zemalja po kvalitetu infrastrukture?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.weforum.org/publications/the-global-competitiveness-report-2020/
Da li je Srbija izvozila rekordne količine hrane 2020. godine?,Da,Da,1,,"['https://www.stat.gov.rs/sr-latn/vesti/20210716-spoljnotrgovinska-robna-razmena-konacni-podaci-2020/', 'https://plutonlogistics.com/spedicija/uvoz-izvoz-hrane-u-2020-kako-je-srbija-trgovala-sa-svetom/']",https://www.minpolj.gov.rs
Da li je Srbija postala energetski nezavisna zemlja?,Ne,Ne,1,"Ne. Srbija nije postala potpuno energetski nezavisna zemlja, već je u procesu tranzicije i razvoja energetskog sektora sa značajnim napredkom, ali i postojećim izazovima.",[],https://www.mre.gov.rs/
Da li je broj turista u Srbiji porastao za 50% u poslednje tri godine? (2021),Da,Da,1,,"['https://www.bbc.com/serbian/lat/svet-64488046', 'https://www.turistickisvet.com/vesti/turizam/turisticki-promet-u-srbiji---evo-sta-kaze-statistika.html']",https://www.srbija.travel/
Da li je Srbija izgradila najviše kilometara auto-puta u regionu u poslednjih 10 godina? (2020),--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,"['https://autonomija.info/93-km-autoputeva-godisnje-izgradi-se-u-srbiji/', 'https://www.danas.rs/vesti/ekonomija/vucic-se-poredi-sa-titom-milosevicem-i-tadicem-ali-zvanicni-podaci-su-jasni-dos-za-pet-godina-izgradio-vise-puteva-nego-sns-za-10/', 'https://sr.wikipedia.org/wiki/%D0%90%D1%83%D1%82%D0%BE%D0%BF%D1%83%D1%82_%D0%901']",https://www.mtu.gov.rs/
Da li je Srbija povećala izvoz tehnologije za 30% u poslednje dve godine? (2021),--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.pks.rs/
Da li je Srbija 2020. godine imala najveći rast BDP-a u Evropi?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://ec.europa.eu/eurostat
Da li se u Srbiji svakog meseca otvore hiljade novih radnih mesta?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.stat.gov.rs/
Da li je Srbija postala lider u proizvodnji automobila u regionu?,Ne,Ne,1,"Ne, Srbija trenutno nije lider u proizvodnji automobila u regionu, već se tek pozicionira za buduću konkurentnost u automobilskoj industriji, posebno u segmentu elektrnih vozila.",['https://digital-azut.com/automobilska-industrija-na-prekretnici/'],https://www.autoklub.rs/
Da li je Srbija postigla najbolji rezultat u istoriji po pitanju izvoza IT usluga? (2021),Da,Da,1,,[],https://www.itdiploma.rs/
Da li je Srbija u 2021. godini ostvarila najveći turistički prihod u istoriji?,Ne,Ne,1,"Ne, jer su podaci pokazuju da je Srbija ostvarila veći turistički prihod u 2022. godini (2.2 milijarde evra) nego u 2021. godini (1.6 milijardi evra).",[],https://www.srbija.travel/
Da li je Srbija 2020. godine imala rekordnu žetvu pšenice?,Da,Da,1,,[],https://www.minpolj.gov.rs/
Da li je Srbija postala centar za strane investicije na Balkanu?,Da,Da,1,,"['https://www.academia.edu/32123197/Strane_direktne_investicije_u_Srbiji', 'https://www.bbc.com/serbian/lat/srbija-64255079']",https://www.nbs.rs/sr/scripts/showcontent/index.html?id=17292&konverzija=no
Da li je Srbija povećala minimalnu zaradu za 10%?,Da,Da,1,,"['https://www.insajder.net/prenosimo/vlada-srbije-usvojila-povecanje-minimalne-zarade-za-2024-godinu', 'https://unija.com/sr/minimalna-zarada-u-srbiji-2024-iznos-tabela-i-informacije/']",https://www.srbija.gov.rs/
Da li je Srbija zemlja sa najnižom stopom nezaposlenosti u Evropi?,Ne,Ne,1,"Ne, Srbija nije zemlja sa najnižom stopom nezaposlenosti u Evropi, već zapravo ima relativno visoku stopu nezaposlenosti, posebno među mladima, koja je ispod proseka Evropske unije.",[],https://ec.europa.eu/eurostat
