Pitanje,Odgovor,Očekivan odgovor,Tačnost,Tacan_odgovor,Linkovi,Likovi za referencu
Miting SNS je održan u Jagodini?,Da,,0,,"['https://www.bbc.com/serbian/articles/cq6gmqv87zmo/lat', 'https://www.blic.rs/vesti/politika/jagodina-sns-miting-vucic-predstavlja-novi-pokret/ndyv4l4']",
Datum mitinga je 24.01.2025?,Da,,0,,['https://abca.dc.gov/publication/protest-notices-01-24-2025'],
U trenutku mitinga; na Kosovu i Metohiji postoje pritisci protiv srpskog naroda?,Da,,0,,"['https://press.un.org/en/2024/sc15673.doc.htm', 'https://www.rferl.org/a/kosovo-serbs-protests-kurti-serbia-analysis/33069531.html', 'https://www.theguardian.com/world/article/2024/aug/31/protest-from-us-after-kosovo-closes-serbian-offices', 'https://en.wikipedia.org/wiki/North_Kosovo_crisis_(2022%E2%80%932025)']",
Albanci su proglasili nezavisnost 2008. godine?,Ne,,0,"Ne. Kosovo je proglasilo nezavisnost 17. februara 2008. godine, kada je Skupština Kosova u Prištini usvojila Deklaraciju o nezavisnosti, potpisanu od strane predsednika Skupštine Kosova, Jakupa Krasniqija.","['https://ecfr.eu/article/commentary_kosovos_path_to_independence/', 'https://www.files.ethz.ch/isn/125409/8009_Kosovo_Independence.pdf', 'https://www.refworld.org/legal/legislation/natlegbod/2008/en/56552']",
Godine 2004. su na Kosovu rušeni manastiri i crkve?,Da,,0,,"['https://press.un.org/en/2004/sc8056.doc.htm', 'https://balkaninsight.com/2015/03/18/march-events-have-faded-kosovo-s-image/', 'https://www.collegeart.org/pdf/BalkanHeritageDestruct.pdf']",
Godine 2004. je na Kosovu izvršen pogrom nad Srbima?,Da,,0,,"['https://balkaninsight.com/2023/03/17/we-dont-forget-serbs-commemorate-deadly-2004-unrest-in-kosovo/', 'https://religionunplugged.com/news/2024/4/1/remember-the-2004-pogrom-against-the-orthodox-serbs-in-kosovo', 'https://balkaninsight.com/2022/03/17/serbs-commemorate-victims-of-deadly-2004-unrest-in-kosovo/']",
Crna Gora je napustila zajednicu sa Srbijom?,Da,,0,,"['https://www.britannica.com/place/Montenegro/Independence', 'https://en.wikipedia.org/wiki/Serbia_and_Montenegro', 'https://en.wikipedia.org/wiki/Montenegro']",
Šolak je izjavio da je autobus sa pristalicama SNS povredio devojku?,Ne,,0,"Ne. Prema dostupnim informacijama, predsednik Vučić je tvrdio da je Šolak izjavio da je autobus sa pristalicama SNS povredio devojku, ali sam Šolakov iskaz nije direktno citiran u datim kontekstima.","['https://www.nezavisne.com/novosti/ex-yu/Vucic-Potpuno-sam-svestan-tezine-trenutka-u-kojem-se-nalazimo/882931', 'https://www.kurir.rs/vesti/politika/9566783/veliki-skup-u-jagodini-aleksandar-vucic-o-narodnom-pokretu', 'https://informer.rs/politika/vesti/983786/aleksandar-vucic-jagodina-miting']",
Na dan mitinga je bilo 7 hiljada dece na ulicama Beograda?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
Đuro Macut je endokrinolog?,Da,,0,,"['https://www.ese-hormones.org/about-us/committees-and-boards/executive-committee/djuro-macut/', 'https://www.rts.rs/tv/rts1/5321762/prof-dr-djuro-macut-endokrinolog.html']",
Đuro Macut nikada nije bio u politici?,Ne,,0,"Ne, prema dostupnim podacima, Đuro Macut je bio politički angažovan kao govornik na skupu gde je Aleksandar Vučić najavio formiranje novog političkog pokreta.",[],
Prosečna plata u Srbiji je nekada bila 320 evra?,Da,,0,,"['https://www.istinomer.rs/izjava/plate-male-al-ni-komsijama-nije-bolje/', 'https://n1info.rs/vesti/vesic-prosecna-plata-u-beogradu-ce-do-2030-iznositi-200-000-dinara/', 'https://www.stat.gov.rs/sr-latn/oblasti/trziste-rada/zarade', 'https://www.istinomer.rs/izjava/plate-male-al-ni-komsijama-nije-bolje/', 'https://www.politika.rs/sr/clanak/624608/prosecna-plata-prvi-put-preko-100-000-dinara', 'https://www.blic.rs/biznis/moj-novcanik/kolika-je-prosecna-plata-u-beogradu-590-evra-na-jugu-320-ali-evo-sta-sve-utice-na/s7eg4kh', 'https://www.blic.rs/biznis/prosecna-plata-u-srbiji-u-maju-33463-dinara/g405pmk']",
Stopa nezaposlenosti u Srbiji je nekada bila 26 odsto?,Da,,0,,"['https://www.stat.gov.rs/sr-latn/oblasti/trziste-rada/anketa-o-radnoj-snazi/', 'https://www.istinomer.rs/izjava/u-2012-stopa-nezaposlenosti-je-bila-259-sada-je-104-odsto/', 'https://www.slobodnaevropa.org/a/24630064.html', 'https://www.istinomer.rs/izjava/stopa-nezaposlenosti-mladih-2012-godine-532-danas-je-254/', 'https://vreme.com/projekat/nezaposlenost-2013-veca-nego-2012/']",
Osoba po imenu Blažić je izvršila napad u kojem su stradala deca?,Da,,0,,"['https://informer.rs/hronika/vesti/928890/uros-blazic-cz-sudenje-masovno-ubistvo', 'https://www.republika.rs/hronika/hronika/596261/uros-blazic-dalibor-todorovic-otac-masakr']",
Putin je predsednik Rusije?,Da,,0,,"['https://bs.wikipedia.org/wiki/Vladimir_Putin', 'https://sh.wikipedia.org/wiki/Vladimir_Putin', 'https://www.dw.com/sr/%C4%8Detvrt-veka-putina-nada-koja-je-postala-problem/a-69888797']",
