Pitanje,Odgovor,Očekivan odgovor,Tačnost,Tacan_odgovor,Linkovi,Likovi za referencu
Da li Srbija ima najveći BDP u regionu?,N,Ne,1,o,,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=RS
Da li je nezaposlenost u Srbiji smanjena za 10% u poslednjih pet godina? (2020),N,Da,1,o,,https://www.stat.gov.rs/
Da li je Srbija ušla u top 10 zemalja po kvalitetu infrastrukture?,N,Ne,1,o,,https://www.weforum.org/publications/the-global-competitiveness-report-2020/
Da li je Srbija izvozila rekordne količine hrane 2020. godine?,N,Da,1,o,,https://www.minpolj.gov.rs
Da li je Srbija postala energetski nezavisna zemlja?,N,Ne,1,o,,https://www.mre.gov.rs/
Da li je broj turista u Srbiji porastao za 50% u poslednje tri godine? (2021),N,Da,1,o,,https://www.srbija.travel/
Da li je Srbija izgradila najviše kilometara auto-puta u regionu u poslednjih 10 godina? (2020),N,Da,0,o,,https://www.mtu.gov.rs/
Da li je Srbija povećala izvoz tehnologije za 30% u poslednje dve godine? (2021),N,Da,0,o,,https://www.pks.rs/
Da li je Srbija 2020. godine imala najveći rast BDP-a u Evropi?,N,Ne,1,o,,https://ec.europa.eu/eurostat
Da li se u Srbiji svakog meseca otvore hiljade novih radnih mesta?,N,Da,0,o,,https://www.stat.gov.rs/
Da li je Srbija postala lider u proizvodnji automobila u regionu?,N,Ne,1,o,,https://www.autoklub.rs/
Da li je Srbija postigla najbolji rezultat u istoriji po pitanju izvoza IT usluga? (2021),N,Da,1,o,,https://www.itdiploma.rs/
Da li je Srbija u 2021. godini ostvarila najveći turistički prihod u istoriji?,N,Ne,1,o,,https://www.srbija.travel/
Da li je Srbija 2020. godine imala rekordnu žetvu pšenice?,N,Da,0,o,,https://www.minpolj.gov.rs/
Da li je Srbija postala centar za strane investicije na Balkanu?,N,Da,1,o,,https://www.nbs.rs/sr/scripts/showcontent/index.html?id=17292&konverzija=no
Da li je Srbija povećala minimalnu zaradu za 10%?,N,Da,0,o,,https://www.srbija.gov.rs/
Da li je Srbija zemlja sa najnižom stopom nezaposlenosti u Evropi?,N,Ne,1,o,,https://ec.europa.eu/eurostat
Da li je Srbija postigla najveći privredni rast u poslednjih 20 godina?,N,Ne,1,o,,https://data.worldbank.org/
Da li je Srbija u 2018. godini imala najnižu stopu inflacije u Evropi?,N,Ne,1,o,,https://ec.europa.eu/eurostat/
Da li je Srbija imala najniži javni dug u regionu 2019. godine?,N,Ne,0,o,,https://www.mfin.gov.rs/
Da li je Srbija u 2023. godini ostvarila najniži nivo nezaposlenosti u istoriji?,N,Da,0,o,,https://www.stat.gov.rs/
Da li je Srbija u poslednjih nekoliko godina povećala izvoz u Rusiju za više od 30%?,N,Da,0,o,,https://www.stat.gov.rs/
Da li je Srbija jedina zemlja u Evropi koja nije članica Saveta Evrope?,N,Ne,1,o,,https://www.coe.int/
