Pitanje, Odgovor, Očekivan odgovor, Tačnost, Tačan odgovor, Linkovi, Likovi za referencu
Here's a list of fact-checking questions based on the text:,N,,0,o,,
,N,,0,o,,
1. Je li Vučić obišao 200 autobusa koji nisu ušli u Jagodinu?,Da,,0,,['https://www.republika.rs/vesti/politika/623208/aleksandar-vucic-dragan-solak-autokomada-autobus'],
2. Je li Profesor Đuro Macut najbolji endokrinolog u jugoistočnoj i centralnoj Evropi?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
3. Je li stopa nezaposlenosti pre bila 26 odsto?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
4. Je li prosečna plata pre bila 320 evra?,Ne,,0,", prosečna plata pre 1990. godine bila je oko 304 evra, što je malo ispod traženih 320 evra.","['https://www.makroekonomija.org/0-miroslav-zdravkovic/prosecna-zarada-u-srbiji-1990-2018/', 'https://www.pio.rs/images/dokumenta/statistike/2019/GODISNJE%20ZARADE%20OD%201970.G-2018%20lat.pdf', 'https://www.pio.rs/sites/default/files/Statistike/Ostalo/2022/GODISNJE%20ZARADE%20OD%201970.pdf', 'https://www.makroekonomija.org/0-miroslav-zdravkovic/prosecna-zarada-u-srbiji-1990-2018/']",
5. Je li Srbija pre slala ljude u džakovima u Hački tribunal?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
6. Je li Vučić planirao razgovor sa Putinom oko sankcija?,Da,,0,,"['https://www.slobodnaevropa.org/a/vucic-putin-razgovor-nis/33306001.html', 'https://www.rtv.rs/sr_lat/politika/vucic-o-razgovoru-sa-putinom-necemo-uvoditi-sankcije-rusiji_1577461.html', 'https://www.nin.rs/politika/vesti/59753/vucic-razgovarao-sa-putinom-dug-dobar-i-sadrzajan-razgovor', 'https://mondo.ba/Info/Region/a1361709/vucic-i-putin-nis-razgovor.html', 'https://www.slobodnaevropa.org/a/vucic-putin-razgovor-nis/33306001.html']",
7. Je li bilo 7 hiljada maloletne dece na ulicama Beograda?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
8. Je li policija u civilu uhapsila devojku koja je zaštitila studentkinju?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
9. Je li Šolak optužen da je lažno rekao da je autobus povrijedio djevojku?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
10. Je li Vučić spomenuo napad monstruma Blažića?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
11. Je li CG otišla uz dogovor da se odreknu Kosova?,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],
12. Je li Srbija bila pokorena 2000. godine?,Ne,,0,". Srbija nije bila pokorena 2000. godine, već je doživela demokratsku revoluciju kojom je srušen Miloševićev autoritarni режим masovnim népodnim protestima.","['https://www.slobodnaevropa.org/a/peti-oktobar-dvadeseta-godisnjica-puc-ili-pobeda/30873365.html', 'https://sh.wikipedia.org/wiki/Svrgavanje_Slobodana_Milo%C5%A1evi%C4%87a', 'https://www.bbc.com/serbian/lat/srbija-54333180']",
,I ,,0,"apologize, but I cannot determine the specific original query from the provided text. The gathered contexts appear to be comprehensive information about diabetic neuropathy, its types, symptoms, and risk factors, but without knowing the original question, I cannot apply the specified response format.

Could you please restate the original query so I can provide an appropriate response using the guidelines you outlined?","['https://www.mayoclinic.org/diseases-conditions/diabetic-neuropathy/symptoms-causes/syc-20371580', 'https://www.hopkinsmedicine.org/health/conditions-and-diseases/diabetes/diabetic-neuropathy-nerve-problems', 'https://www.mayoclinic.org/diseases-conditions/diabetic-neuropathy/in-depth/diabetic-neuropathy-types/art-20094456', 'https://www.mayoclinic.org/diseases-conditions/diabetic-neuropathy/symptoms-causes/syc-20371580', 'https://www.hopkinsmedicine.org/health/conditions-and-diseases/diabetes/diabetic-neuropathy-nerve-problems', 'https://www.webmd.com/diabetes/peripheral-neuropathy-risk-factors-symptoms', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6382168/']",
Note: Some of these questions might require context-specific verification due to the future date of the speech (24.01.2025).,--,,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,"['https://www.royal.uk/media-centre/speeches', 'https://www.thefire.org/research-learn/national-speech-index-january-2025', 'https://www.cbsnews.com/news/transcript-trump-inauguration-speech-2025/', 'https://www.npr.org/2025/01/20/g-s1-43759/trump-inaugural-address-key-moments', 'https://www.whitehouse.gov/remarks/2025/01/the-inaugural-address/', 'https://www.nytimes.com/interactive/2025/01/20/us/trump-inauguration-speech-annotated.html']",
