Pitanje, Odgovor, Očekivan odgovor, Tačnost, Tačan odgovor, Linkovi, Likovi za referencu
Da li je Aleksandar Vučić posetio Jagodinu 24.01.2025. godine?,--,Da,,,,,
Da li je bilo 7 hiljada dece na ulicama grada tog dana?,--,--,,,,,
Da li je policija uhapsila devojku koja je danas zaštitila studentkinju?,--,--,,,,,
Da li su neki političari tražili da se nešto loše desi kako bi preuzeli vlast na kriminalan način?,--,--,,,,,
Da li je prosečna plata u Srbiji bila 320 evra u prošlosti?,--,Da,,,,,https://www.istinomer.rs/izjava/prosecna-plata-2012-bila-329-evra-plate-i-penzije-rastu/?utm_source=chatgpt.com
Da li se Srbija suočava sa brojnim izazovima u svetu danas?,--,--,,,,,
Da li je Aleksandar Vučić planirao razgovor sa Vladimirom Putinom o problemima sa uvedenim sankcijama?,--,--,,,,,
Da li postoji dogovor da Crna Gora ode i da Srbija odustane od Kosova i Metohije?,--,Ne,,,,,
Da li je Đuro Macut najbolji endokrinolog u jugoistočnoj i centralnoj Evropi?,--,--,,,,,
Da li je neko od političara uzvikivao nešto uvredljivo dok je Aleksandar Vučić bio na terasi?,--,--,,,,,
Da li su političari pokušavali zloupotrebiti decu kako bi se vratili na vlast?,--,--,,,,,
Da li su neki političari živeli na tragedijama i nesrećama građana?,--,--,,,,,
Da li je Srbija napadnuta spolja i iznutra?,--,--,,,,,
Da li su Albanaci proglasili nezavisnost 2008. godine?,--,Da,,,,,https://sr.wikipedia.org/sr-el/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BE_%D0%BD%D0%B5%D0%B7%D0%B0%D0%B2%D0%B8%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D0%9A%D0%BE%D1%81%D0%BE%D0%B2%D0%B0
Da li su Srbe pokušavali da proteraju sa severa i juga Kosova i Metohije?,--,--,,,,,
Da li su političari izvršili pogrom 2004. godine?,--,--,,,,,
Da li su političari iznutra ćutali na događaje vezane za Crnu Goru?,--,--,,,,,
